edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_caudalanteriorcingulate -- rh_frontalpole,6,0.0,SZ,150,0.04,0.0,0.0
lh_caudalanteriorcingulate -- rh_fusiform,3,1.0,SZ,150,0.02,0.006666666666666667,0.3333333333333333
lh_caudalanteriorcingulate -- rh_inferiorparietal,24,1.0,SZ,150,0.16,0.006666666666666667,0.041666666666666664
lh_caudalanteriorcingulate -- rh_inferiortemporal,43,1.0,SZ,150,0.2866666666666667,0.006666666666666667,0.023255813953488372
lh_caudalanteriorcingulate -- rh_insula,43,2.0,SZ,150,0.2866666666666667,0.013333333333333334,0.046511627906976744
lh_caudalanteriorcingulate -- rh_isthmuscingulate,88,2.0,SZ,150,0.5866666666666667,0.013333333333333334,0.022727272727272728
lh_caudalanteriorcingulate -- rh_lateraloccipital,13,1.0,SZ,150,0.08666666666666667,0.006666666666666667,0.07692307692307693
lh_caudalanteriorcingulate -- rh_lateralorbitofrontal,31,0.0,SZ,150,0.20666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- rh_medialorbitofrontal,8,0.0,SZ,150,0.05333333333333334,0.0,0.0
lh_caudalanteriorcingulate -- rh_middletemporal,65,2.0,SZ,150,0.43333333333333335,0.013333333333333334,0.03076923076923077
lh_caudalanteriorcingulate -- rh_paracentral,82,3.0,SZ,150,0.5466666666666666,0.02,0.036585365853658534
lh_caudalanteriorcingulate -- rh_parahippocampal,15,2.0,SZ,150,0.1,0.013333333333333334,0.13333333333333333
lh_caudalanteriorcingulate -- rh_parsopercularis,38,7.0,SZ,150,0.25333333333333335,0.04666666666666667,0.18421052631578946
lh_caudalanteriorcingulate -- rh_parstriangularis,52,4.0,SZ,150,0.3466666666666667,0.02666666666666667,0.07692307692307693
lh_caudalanteriorcingulate -- rh_pericalcarine,13,0.0,SZ,150,0.08666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- rh_postcentral,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalanteriorcingulate -- rh_posteriorcingulate,93,4.0,SZ,150,0.62,0.02666666666666667,0.043010752688172046
lh_caudalanteriorcingulate -- rh_precentral,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- rh_rostralanteriorcingulate,15,0.0,SZ,150,0.1,0.0,0.0
lh_caudalanteriorcingulate -- rh_rostralmiddlefrontal,12,0.0,SZ,150,0.08,0.0,0.0
lh_caudalanteriorcingulate -- rh_superiorfrontal,40,1.0,SZ,150,0.26666666666666666,0.006666666666666667,0.025
lh_caudalanteriorcingulate -- rh_superiorparietal,4,1.0,SZ,150,0.02666666666666667,0.006666666666666667,0.25
lh_caudalanteriorcingulate -- rh_superiortemporal,33,1.0,SZ,150,0.22,0.006666666666666667,0.030303030303030304
lh_caudalanteriorcingulate -- rh_supramarginal,16,1.0,SZ,150,0.10666666666666667,0.006666666666666667,0.0625
lh_caudalanteriorcingulate -- rh_temporalpole,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- rh_transversetemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_entorhinal,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalmiddlefrontal -- lh_frontalpole,20,1.0,SZ,150,0.13333333333333333,0.006666666666666667,0.05
lh_caudalmiddlefrontal -- lh_fusiform,6,0.0,SZ,150,0.04,0.0,0.0
lh_caudalmiddlefrontal -- lh_inferiorparietal,12,0.0,SZ,150,0.08,0.0,0.0
lh_caudalmiddlefrontal -- lh_inferiortemporal,44,1.0,SZ,150,0.29333333333333333,0.006666666666666667,0.022727272727272728
lh_caudalmiddlefrontal -- lh_insula,55,2.0,SZ,150,0.36666666666666664,0.013333333333333334,0.03636363636363636
lh_caudalmiddlefrontal -- lh_isthmuscingulate,58,6.0,SZ,150,0.38666666666666666,0.04,0.10344827586206896
lh_caudalmiddlefrontal -- lh_lateraloccipital,23,0.0,SZ,150,0.15333333333333332,0.0,0.0
lh_caudalmiddlefrontal -- lh_lateralorbitofrontal,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_lingual,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_medialorbitofrontal,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_middletemporal,46,4.0,SZ,150,0.30666666666666664,0.02666666666666667,0.08695652173913043
lh_caudalmiddlefrontal -- lh_paracentral,29,0.0,SZ,150,0.19333333333333333,0.0,0.0
lh_caudalmiddlefrontal -- lh_parahippocampal,7,1.0,SZ,150,0.04666666666666667,0.006666666666666667,0.14285714285714285
lh_caudalmiddlefrontal -- lh_parsopercularis,19,0.0,SZ,150,0.12666666666666668,0.0,0.0
lh_caudalmiddlefrontal -- lh_parsorbitalis,7,0.0,SZ,150,0.04666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_parstriangularis,54,7.0,SZ,150,0.36,0.04666666666666667,0.12962962962962962
lh_caudalmiddlefrontal -- lh_pericalcarine,23,1.0,SZ,150,0.15333333333333332,0.006666666666666667,0.043478260869565216
lh_caudalmiddlefrontal -- lh_postcentral,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- lh_posteriorcingulate,84,3.0,SZ,150,0.56,0.02,0.03571428571428571
lh_caudalmiddlefrontal -- lh_precentral,25,0.0,SZ,150,0.16666666666666666,0.0,0.0
lh_caudalmiddlefrontal -- lh_precuneus,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_caudalmiddlefrontal -- lh_rostralanteriorcingulate,19,0.0,SZ,150,0.12666666666666668,0.0,0.0
lh_caudalmiddlefrontal -- lh_rostralmiddlefrontal,21,1.0,SZ,150,0.14,0.006666666666666667,0.047619047619047616
lh_caudalmiddlefrontal -- lh_superiorfrontal,37,1.0,SZ,150,0.24666666666666667,0.006666666666666667,0.02702702702702703
lh_caudalmiddlefrontal -- lh_superiorparietal,15,1.0,SZ,150,0.1,0.006666666666666667,0.06666666666666667
lh_caudalmiddlefrontal -- lh_superiortemporal,28,0.0,SZ,150,0.18666666666666668,0.0,0.0
lh_caudalmiddlefrontal -- lh_supramarginal,41,1.0,SZ,150,0.2733333333333333,0.006666666666666667,0.024390243902439025
lh_caudalmiddlefrontal -- lh_temporalpole,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalmiddlefrontal -- lh_transversetemporal,7,3.0,SZ,150,0.04666666666666667,0.02,0.42857142857142855
lh_caudalmiddlefrontal -- rh_bankssts,89,3.0,SZ,150,0.5933333333333334,0.02,0.033707865168539325
lh_caudalmiddlefrontal -- rh_caudalanteriorcingulate,73,1.0,SZ,150,0.4866666666666667,0.006666666666666667,0.0136986301369863
lh_caudalmiddlefrontal -- rh_caudalmiddlefrontal,76,6.0,SZ,150,0.5066666666666667,0.04,0.07894736842105263
lh_caudalmiddlefrontal -- rh_cuneus,7,0.0,SZ,150,0.04666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- rh_frontalpole,14,0.0,SZ,150,0.09333333333333334,0.0,0.0
lh_caudalmiddlefrontal -- rh_fusiform,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_caudalmiddlefrontal -- rh_inferiorparietal,27,2.0,SZ,150,0.18,0.013333333333333334,0.07407407407407407
lh_caudalmiddlefrontal -- rh_inferiortemporal,45,5.0,SZ,150,0.3,0.03333333333333333,0.1111111111111111
lh_caudalmiddlefrontal -- rh_insula,43,1.0,SZ,150,0.2866666666666667,0.006666666666666667,0.023255813953488372
lh_caudalmiddlefrontal -- rh_isthmuscingulate,52,2.0,SZ,150,0.3466666666666667,0.013333333333333334,0.038461538461538464
lh_caudalmiddlefrontal -- rh_lateraloccipital,23,0.0,SZ,150,0.15333333333333332,0.0,0.0
lh_caudalmiddlefrontal -- rh_lateralorbitofrontal,17,3.0,SZ,150,0.11333333333333333,0.02,0.17647058823529413
lh_caudalmiddlefrontal -- rh_lingual,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalmiddlefrontal -- rh_medialorbitofrontal,9,0.0,SZ,150,0.06,0.0,0.0
lh_caudalmiddlefrontal -- rh_middletemporal,64,4.0,SZ,150,0.4266666666666667,0.02666666666666667,0.0625
lh_caudalmiddlefrontal -- rh_paracentral,45,1.0,SZ,150,0.3,0.006666666666666667,0.022222222222222223
lh_caudalmiddlefrontal -- rh_parahippocampal,16,0.0,SZ,150,0.10666666666666667,0.0,0.0
lh_caudalmiddlefrontal -- rh_parsopercularis,26,1.0,SZ,150,0.17333333333333334,0.006666666666666667,0.038461538461538464
