edge,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
rh_lingual -- rh_supramarginal,0.02666666666666667,0.005407254191835214,0.008,0.003135856533245348,0.018666666666666668,0.002271397658589866
lh_middletemporal -- rh_paracentral,0.03333333333333333,0.0037000263879977506,0.016,0.0032142477683696413,0.017333333333333333,0.0004857786196281093
lh_rostralanteriorcingulate -- rh_fusiform,0.02,0.010593890237426818,0.0026666666666666666,0.002143662106585415,0.017333333333333333,0.008450228130841403
lh_middletemporal -- lh_paracentral,0.03333333333333333,0.0034369806327208203,0.016,0.0032308678288951453,0.017333333333333333,0.0002061128038256749
lh_rostralanteriorcingulate -- rh_insula,0.03333333333333333,0.0031009824591254143,0.016,0.0033052223093180872,0.017333333333333333,-0.00020423985019267293
lh_parsorbitalis -- rh_parsorbitalis,0.07333333333333333,0.0035895803625770922,0.056,0.0035256995675053662,0.017333333333333333,6.3880795071726e-05
lh_parstriangularis -- rh_posteriorcingulate,0.03333333333333333,0.0034816879580993527,0.016,0.003168630423587983,0.017333333333333333,0.0003130575345113699
lh_isthmuscingulate -- rh_inferiortemporal,0.02,0.0026280669927643057,0.0026666666666666666,0.0025432209482749955,0.017333333333333333,8.48460444893102e-05
lh_lateralorbitofrontal -- rh_inferiortemporal,0.02,0.002496480554234668,0.0026666666666666666,0.002347173395768794,0.017333333333333333,0.00014930715846587367
lh_postcentral -- rh_rostralanteriorcingulate,0.02,0.0026252487108085463,0.0026666666666666666,0.001984434990135348,0.017333333333333333,0.0006408137206731983
lh_temporalpole -- rh_supramarginal,0.02,0.005994025089001891,0.0026666666666666666,0.003044204469679532,0.017333333333333333,0.002949820619322359
lh_paracentral -- rh_postcentral,0.02,0.003983450084343925,0.0026666666666666666,0.0026520463547234697,0.017333333333333333,0.0013314037296204557
rh_superiorparietal -- rh_supramarginal,0.02,0.003360998887111248,0.0026666666666666666,0.002801251797040547,0.017333333333333333,0.0005597470900707011
lh_insula -- lh_middletemporal,0.02,0.0035780554405548505,0.0026666666666666666,0.0021655975682795016,0.017333333333333333,0.001412457872275349
rh_precentral -- rh_precuneus,0.02,0.006194897023657199,0.0026666666666666666,0.0017656841886139363,0.017333333333333333,0.004429212835043263
lh_bankssts -- lh_lateralorbitofrontal,0.02,0.003217147043668319,0.0026666666666666666,0.002853737721201894,0.017333333333333333,0.00036340932246642496
rh_inferiortemporal -- rh_parsorbitalis,0.02,0.0026786815442838164,0.0026666666666666666,0.0027047360357876546,0.017333333333333333,-2.6054491503838244e-05
lh_parsopercularis -- rh_middletemporal,0.02,0.005570937594242533,0.0026666666666666666,0.002843859739540574,0.017333333333333333,0.0027270778547019594
lh_supramarginal -- rh_supramarginal,0.02,0.00292017236841524,0.0026666666666666666,0.0030199278106058836,0.017333333333333333,-9.975544219064346e-05
lh_caudalmiddlefrontal -- lh_transversetemporal,0.02,0.008554844904200038,0.0026666666666666666,0.0033466192832589487,0.017333333333333333,0.00520822562094109
lh_superiortemporal -- rh_inferiorparietal,0.02,0.002791970735001091,0.0026666666666666666,0.0025731626255477975,0.017333333333333333,0.00021880810945329367
lh_superiorparietal -- rh_rostralanteriorcingulate,0.02,0.0021708797650096417,0.0026666666666666666,0.0026170429981803053,0.017333333333333333,-0.0004461632331706636
lh_lateraloccipital -- rh_parstriangularis,0.02,0.003226237354363741,0.0026666666666666666,0.0024836945744247897,0.017333333333333333,0.0007425427799389512
lh_fusiform -- rh_lateralorbitofrontal,0.02666666666666667,0.007841834659218326,0.010666666666666666,0.003172989017020097,0.016,0.00466884564219823
rh_postcentral -- rh_supramarginal,0.02666666666666667,0.003258955093596156,0.010666666666666666,0.002766633298151089,0.016,0.000492321795445067
lh_bankssts -- lh_paracentral,0.04,0.0032416574341250387,0.024,0.0030515318678426967,0.016,0.00019012556628234195
rh_supramarginal -- rh_temporalpole,0.02666666666666667,0.006553852688817409,0.010666666666666666,0.0029569265828953977,0.016,0.0035969261059220115
lh_superiorfrontal -- rh_lateraloccipital,0.02666666666666667,0.003103790597105448,0.010666666666666666,0.0028669951732883028,0.016,0.00023679542381714516
lh_inferiortemporal -- rh_parsopercularis,0.02666666666666667,0.0033852986064463264,0.010666666666666666,0.0029646486599456414,0.016,0.00042064994650068506
rh_caudalmiddlefrontal -- rh_insula,0.04,0.003693893324202392,0.024,0.0032712405362868603,0.016,0.0004226527879155318
lh_bankssts -- lh_insula,0.02666666666666667,0.002755292954522324,0.010666666666666666,0.002451505452365229,0.016,0.0003037875021570948
lh_insula -- rh_fusiform,0.02666666666666667,0.00514481653583357,0.010666666666666666,0.0061326356674318095,0.016,-0.0009878191315982393
lh_parsopercularis -- rh_parstriangularis,0.02,0.003757420038345868,0.005333333333333333,0.003326497622781551,0.014666666666666668,0.00043092241556431715
lh_caudalmiddlefrontal -- rh_superiorfrontal,0.02,0.0033270192142786053,0.005333333333333333,0.002855191232694194,0.014666666666666668,0.00047182798158441116
lh_middletemporal -- lh_postcentral,0.02,0.007104007668931437,0.005333333333333333,0.007774672273914076,0.014666666666666668,-0.0006706646049826391
lh_parsopercularis -- rh_supramarginal,0.02,0.003898922719962897,0.005333333333333333,0.0029402226939478095,0.014666666666666668,0.0009587000260150875
lh_cuneus -- lh_frontalpole,0.02,0.0035549579381805893,0.005333333333333333,0.0021813182857897836,0.014666666666666668,0.0013736396523908057
lh_paracentral -- lh_pericalcarine,0.02,0.003972157613892215,0.005333333333333333,0.0025031105090748767,0.014666666666666668,0.0014690471048173386
lh_cuneus -- rh_precentral,0.02,0.006921753305878704,0.005333333333333333,0.003559565292416479,0.014666666666666668,0.0033621880134622256
lh_lateralorbitofrontal -- rh_frontalpole,0.02,0.0031890748454999826,0.005333333333333333,0.00269247508117204,0.014666666666666668,0.0004965997643279424
rh_paracentral -- rh_parsopercularis,0.02,0.0035394944648066856,0.005333333333333333,0.0026567572905509076,0.014666666666666668,0.000882737174255778
lh_parsopercularis -- lh_rostralanteriorcingulate,0.02,0.003818395434640045,0.005333333333333333,0.0025195372476137777,0.014666666666666668,0.0012988581870262673
lh_caudalanteriorcingulate -- lh_parstriangularis,0.03333333333333333,0.003320985842744676,0.018666666666666668,0.003137145907011056,0.014666666666666665,0.0001838399357336198
lh_rostralmiddlefrontal -- lh_supramarginal,0.03333333333333333,0.0032028090621634042,0.018666666666666668,0.003207129042125191,0.014666666666666665,-4.319979961786655e-06
lh_parstriangularis -- lh_posteriorcingulate,0.03333333333333333,0.0029687115144073645,0.018666666666666668,0.003212810639749735,0.014666666666666665,-0.0002440991253423704
lh_middletemporal -- rh_pericalcarine,0.03333333333333333,0.0032879844448290767,0.018666666666666668,0.0028708826876190103,0.014666666666666665,0.00041710175721006637
lh_parsopercularis -- rh_superiorparietal,0.03333333333333333,0.004078353603232196,0.018666666666666668,0.00303007855598986,0.014666666666666665,0.001048275047242336
lh_precuneus -- rh_parsorbitalis,0.03333333333333333,0.003150139569970825,0.018666666666666668,0.002785212890904665,0.014666666666666665,0.00036492667906615987
