group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_bankssts -- rh_parstriangularis,3,150,0.02,0.003393955115829223,185.6727272727273,0.965861130844463
ALL_SZ,lh_bankssts -- rh_pericalcarine,1,150,0.006666666666666667,0.0029045884704960506,245.375,0.9151308983564377
ALL_SZ,lh_bankssts -- rh_postcentral,0,150,0.0,0.003252102163309914,178.5,-0.9542910754680632
ALL_SZ,lh_bankssts -- rh_posteriorcingulate,7,150,0.04666666666666667,0.0033090206481600627,176.83478260869566,0.9739892757457236
ALL_SZ,lh_bankssts -- rh_precentral,0,150,0.0,0.0032986363847115102,223.85714285714286,-0.9582897850445339
ALL_SZ,lh_bankssts -- rh_rostralanteriorcingulate,2,150,0.013333333333333334,0.0030401734934992664,334.84615384615387,0.9178301692008972
ALL_SZ,lh_bankssts -- rh_rostralmiddlefrontal,2,150,0.013333333333333334,0.003289051272445795,170.28571428571428,-0.9430617392063141
ALL_SZ,lh_bankssts -- rh_superiorfrontal,1,150,0.006666666666666667,0.002387037117858813,343.2121212121212,-0.915040424375823
ALL_SZ,lh_bankssts -- rh_superiorparietal,0,150,0.0,0.00270841639117602,248.4,-0.9260310769081116
ALL_SZ,lh_bankssts -- rh_superiortemporal,1,150,0.006666666666666667,0.0025948439915691344,212.29310344827587,-0.950420308729698
ALL_SZ,lh_bankssts -- rh_supramarginal,0,150,0.0,0.0027282169767574166,253.83333333333334,-0.9485074347919888
ALL_SZ,lh_bankssts -- rh_transversetemporal,0,150,0.0,0.0016044254839732634,55.0,0.8658230900764465
ALL_SZ,lh_caudalanteriorcingulate -- lh_caudalmiddlefrontal,4,150,0.02666666666666667,0.003441973477494708,171.76315789473685,0.9605887736144819
ALL_SZ,lh_caudalanteriorcingulate -- lh_entorhinal,0,150,0.0,0.002159709416356164,40.0,-0.8349105715751648
ALL_SZ,lh_caudalanteriorcingulate -- lh_frontalpole,0,150,0.0,0.0014525357195294712,273.0,-0.8888520896434784
ALL_SZ,lh_caudalanteriorcingulate -- lh_fusiform,0,150,0.0,0.0017432381070181698,408.0,-0.8826088607311249
ALL_SZ,lh_caudalanteriorcingulate -- lh_inferiorparietal,0,150,0.0,0.002476438042414079,187.6153846153846,-0.9249645196474515
ALL_SZ,lh_caudalanteriorcingulate -- lh_inferiortemporal,1,150,0.006666666666666667,0.002826339818660124,194.17948717948718,-0.9483611155778934
ALL_SZ,lh_caudalanteriorcingulate -- lh_insula,2,150,0.013333333333333334,0.0027923634208077666,194.13636363636363,0.9433765831318769
ALL_SZ,lh_caudalanteriorcingulate -- lh_isthmuscingulate,7,150,0.04666666666666667,0.0035226416023551644,168.36263736263737,0.9702747300430968
ALL_SZ,lh_caudalanteriorcingulate -- lh_lateraloccipital,0,150,0.0,0.0019582108078354974,242.44444444444446,-0.9260542194048563
ALL_SZ,lh_caudalanteriorcingulate -- lh_lateralorbitofrontal,0,150,0.0,0.0024828570417759883,229.4375,0.9292599000036716
ALL_SZ,lh_caudalanteriorcingulate -- lh_lingual,0,150,0.0,0.0014494948517485141,263.0,-0.8578944802284241
ALL_SZ,lh_caudalanteriorcingulate -- lh_medialorbitofrontal,0,150,0.0,0.0025931470832962836,118.75,-0.9670757651329039
ALL_SZ,lh_caudalanteriorcingulate -- lh_middletemporal,4,150,0.02666666666666667,0.003103752013737451,201.21428571428572,-0.953757653917585
ALL_SZ,lh_caudalanteriorcingulate -- lh_paracentral,3,150,0.02,0.003204630288646399,214.15686274509804,0.9614477145905588
ALL_SZ,lh_caudalanteriorcingulate -- lh_parahippocampal,0,150,0.0,0.0028519803239791005,326.75,0.9335024654865265
ALL_SZ,lh_caudalanteriorcingulate -- lh_parsopercularis,1,150,0.006666666666666667,0.00429003599265246,151.41666666666666,0.9606112092733383
ALL_SZ,lh_caudalanteriorcingulate -- lh_parsorbitalis,0,150,0.0,0.0013594953707926861,371.3333333333333,-0.8468955159187317
ALL_SZ,lh_caudalanteriorcingulate -- lh_parstriangularis,5,150,0.03333333333333333,0.003320985842744676,171.4,0.965375502543016
ALL_SZ,lh_caudalanteriorcingulate -- lh_pericalcarine,0,150,0.0,0.0017058662122618907,326.36842105263156,0.9039406117640043
ALL_SZ,lh_caudalanteriorcingulate -- lh_posteriorcingulate,6,150,0.04,0.003369763802033471,165.3119266055046,0.9694492073234068
ALL_SZ,lh_caudalanteriorcingulate -- lh_precentral,0,150,0.0,0.0018465958696879115,310.6,-0.93027822971344
