group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
ALL_SZ,rh_parahippocampal,20,150,0.13333333333333333,0.013287399987738,37.48
ALL_SZ,rh_parsopercularis,30,150,0.2,0.01589303206605018,33.13333333333333
ALL_SZ,rh_parsorbitalis,14,150,0.09333333333333334,0.013233219922703163,36.46666666666667
ALL_SZ,rh_parstriangularis,23,150,0.15333333333333332,0.014414863738685068,36.03333333333333
ALL_SZ,rh_pericalcarine,23,150,0.15333333333333332,0.014924523293023007,31.953333333333333
ALL_SZ,rh_postcentral,15,150,0.1,0.014111533324127156,36.43333333333333
ALL_SZ,rh_posteriorcingulate,15,150,0.1,0.01274893853195533,40.02
ALL_SZ,rh_precentral,17,150,0.11333333333333333,0.014227724541802851,35.2
ALL_SZ,rh_precuneus,20,150,0.13333333333333333,0.014187200863736964,36.913333333333334
ALL_SZ,rh_rostralanteriorcingulate,31,150,0.20666666666666667,0.015503928128934306,33.46
ALL_SZ,rh_rostralmiddlefrontal,12,150,0.08,0.013449704259493354,36.35333333333333
ALL_SZ,rh_superiorfrontal,19,150,0.12666666666666668,0.014327130066690863,35.45333333333333
ALL_SZ,rh_superiorparietal,25,150,0.16666666666666666,0.015594345958234142,33.57333333333333
ALL_SZ,rh_superiortemporal,15,150,0.1,0.013677214743492521,36.76
ALL_SZ,rh_supramarginal,32,150,0.21333333333333335,0.016051718724607835,30.04
ALL_SZ,rh_temporalpole,18,150,0.12,0.014408576798659034,34.666666666666664
ALL_SZ,rh_transversetemporal,53,150,0.35333333333333333,0.019259497893328745,21.38
ALL_CTRL,lh_bankssts,45,375,0.12,0.014433632695491805,33.29333333333334
ALL_CTRL,lh_caudalanteriorcingulate,58,375,0.15466666666666667,0.015170210972674132,32.376
ALL_CTRL,lh_caudalmiddlefrontal,56,375,0.14933333333333335,0.014872155800741043,35.464
ALL_CTRL,lh_cuneus,67,375,0.17866666666666667,0.015331945598072995,31.869333333333334
ALL_CTRL,lh_entorhinal,47,375,0.12533333333333332,0.014493886580001664,36.29333333333334
ALL_CTRL,lh_frontalpole,40,375,0.10666666666666667,0.014014003457909475,35.333333333333336
ALL_CTRL,lh_fusiform,147,375,0.392,0.018617872508652846,23.162666666666667
